login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
karishnu,karishnu/android-components,2019-02-03,1,1,Kotlin,True,False,Mozilla Public License 2.0
karishnu,karishnu/android-sdk-repo,2019-07-03,1,1,,True,True,Not Available
karishnu,karishnu/badges,2018-03-06,1,1,,True,True,MIT License
karishnu,karishnu/begin-personal-website,2020-10-02,1,1,JavaScript,True,True,Apache License 2.0
karishnu,karishnu/CANSAT-2018-GUI,2017-12-14,1,1,Java,True,True,Not Available
karishnu,karishnu/ChipView,2017-05-21,1,1,Java,True,True,Apache License 2.0
karishnu,karishnu/cornealx,2017-03-11,1,1,Java,True,True,Not Available
karishnu,karishnu/data-forge-ts,2020-05-21,1,1,TypeScript,True,True,MIT License
karishnu,karishnu/dbmsproject2017,2016-11-17,1,1,JavaScript,True,True,Not Available
karishnu,karishnu/django-first,2016-06-04,0,0,Python,True,True,Not Available
karishnu,karishnu/fake_news_detector,2017-10-31,1,1,Python,True,True,Not Available
karishnu,karishnu/focus-android,2018-11-11,1,1,Java,True,True,Mozilla Public License 2.0
karishnu,karishnu/gravitas-android,2016-02-28,0,0,Java,True,True,Not Available
karishnu,karishnu/HiCycle-Android,2017-09-25,1,1,Java,True,True,Not Available
karishnu,karishnu/k-9,2017-02-28,1,1,Java,True,True,Apache License 2.0
karishnu,karishnu/learn-android,2015-11-11,0,0,Java,True,True,GNU General Public License v3.0
karishnu,karishnu/MNIST_parallel_prediction,2017-11-08,3,3,Python,True,True,Not Available
karishnu,karishnu/NoHotEncoder,2018-09-12,1,1,Python,True,True,Not Available
karishnu,karishnu/PersonalWebsite,2016-09-03,1,1,CSS,True,True,Not Available
karishnu,karishnu/Reinforcement_learning,2019-12-20,1,1,Jupyter Notebook,True,True,Not Available
karishnu,karishnu/restappnode,2016-04-07,0,0,JavaScript,True,True,Not Available
karishnu,karishnu/retwitter,2018-10-16,3,3,JavaScript,True,True,Not Available
karishnu,karishnu/rule-based-gmail,2023-08-01,0,0,JavaScript,True,True,Not Available
karishnu,karishnu/scdd-2016-app,2015-12-14,0,0,Java,True,False,Not Available
karishnu,karishnu/Scholocal,2017-06-26,1,1,HTML,True,True,Not Available
karishnu,karishnu/SimpleNotes,2017-08-02,1,1,Java,True,True,Not Available
karishnu,karishnu/SocialDistancingAI,2020-05-21,1,1,Python,True,True,MIT License
karishnu,karishnu/Techloop-A-Plus,2018-02-12,1,1,,True,True,MIT License
karishnu,karishnu/tf-agents-multi-particle-envs,2020-08-22,2,2,Python,True,True,MIT License
karishnu,karishnu/ThreeBarAttendanceGraph,2016-09-10,1,1,Java,True,True,Not Available
AgnelSelvan,AgnelSelvan/A1-Technity-Phantom,2021-02-06,2,2,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/Agnel-Demos,2021-11-29,1,1,Swift,True,True,Not Available
AgnelSelvan,AgnelSelvan/AgnelSelvan,2020-11-09,0,0,,True,True,Not Available
AgnelSelvan,AgnelSelvan/AgnelSelvan.github.io,2020-11-09,0,0,JavaScript,True,True,Not Available
AgnelSelvan,AgnelSelvan/annaistore,2020-06-04,0,0,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/AR-Weather-App-Flutter,2022-10-26,3,3,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/Blogs,2021-03-26,9,9,Objective-C,True,True,Not Available
AgnelSelvan,AgnelSelvan/BMICalculator,2019-12-06,0,0,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/bonfire,2023-06-04,0,0,Dart,True,True,MIT License
AgnelSelvan,AgnelSelvan/caption-generator-app,2021-04-08,1,1,C++,True,True,Not Available
AgnelSelvan,AgnelSelvan/computer-store,2019-09-05,0,0,PHP,True,True,Not Available
AgnelSelvan,AgnelSelvan/Connect-Us,2021-04-02,1,1,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/covid19-tracker,2020-09-07,3,3,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/Cross-the-road,2022-03-07,4,4,Swift,True,True,Not Available
AgnelSelvan,AgnelSelvan/CSS-framework,2019-08-18,0,0,CSS,True,True,Not Available
AgnelSelvan,AgnelSelvan/custom_packages_flutter,2021-05-18,2,2,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/Demo3,2021-11-25,0,0,Swift,True,True,Not Available
AgnelSelvan,AgnelSelvan/Discord-Bot-Game,2021-08-14,0,0,Python,True,True,Not Available
AgnelSelvan,AgnelSelvan/E-Chalan-System,2021-05-14,0,0,JavaScript,True,True,Not Available
AgnelSelvan,AgnelSelvan/Emotion-Recognition,2021-02-04,1,1,Jupyter Notebook,True,True,Not Available
AgnelSelvan,AgnelSelvan/extractunitypackage,2020-04-25,0,0,,True,True,Not Available
AgnelSelvan,AgnelSelvan/Flames-Flutter-Effects,2022-06-19,0,0,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/FlashChat,2019-12-09,0,0,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/Flutter-Face-Detection,2022-03-14,6,6,C++,True,True,Not Available
AgnelSelvan,AgnelSelvan/flutter-otp-autofill,2023-06-26,0,0,,True,True,Apache License 2.0
AgnelSelvan,AgnelSelvan/Flutter-UI-Template,2022-04-13,39,39,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/Flutter-Web-Portfolio,2022-03-24,46,46,Dart,True,True,Not Available
AgnelSelvan,AgnelSelvan/flutter_contacts_list,2020-06-18,0,0,,True,True,Not Available
AgnelSelvan,AgnelSelvan/flutter_local_notifications,2021-01-29,0,0,,True,True,Not Available
AgnelSelvan,AgnelSelvan/FolderSelectorPlugin,2021-04-17,1,1,Dart,True,True,MIT License
KasamShaikh,KasamShaikh/ApressBot,2018-08-16,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/azure-docs,2018-06-14,0,0,PowerShell,True,False,Creative Commons Attribution 4.0 International
KasamShaikh,KasamShaikh/AzureFunctions,2016-09-10,0,0,,True,True,Not Available
KasamShaikh,KasamShaikh/AzureTalk-Cognitive,2018-01-27,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/AzureVidyapeethWebinar,2018-03-30,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/communities,2023-03-31,0,0,,True,True,MIT License
KasamShaikh,KasamShaikh/DearAzure,2024-05-28,0,0,,True,True,Not Available
KasamShaikh,KasamShaikh/deploytoAzure,2016-09-18,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/documentdb-dotnet-todo-app,2018-12-18,0,0,JavaScript,True,True,MIT License
KasamShaikh,KasamShaikh/edudemo,2018-01-27,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/faqBots,2017-11-22,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/generative-ai-for-beginners,2023-11-16,0,0,,True,False,MIT License
KasamShaikh,KasamShaikh/MS-Build-Cognitive,2017-12-22,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/mvcCodeExercise,2017-09-05,0,0,JavaScript,True,True,Not Available
KasamShaikh,KasamShaikh/mvpfaqbot,2017-11-21,0,0,HTML,True,True,Not Available
KasamShaikh,KasamShaikh/Python-Flask-HelloWorld,2017-10-10,2,2,Python,True,True,MIT License
KasamShaikh,KasamShaikh/snake-game,2024-06-24,0,0,,True,True,Not Available
KasamShaikh,KasamShaikh/storage-queue-dotnet-pop-receipt,2017-12-05,0,0,C#,True,True,MIT License
mtwn105,mtwn105/50-a-foil-status,2021-03-11,0,0,,True,True,Not Available
mtwn105,mtwn105/Angular-unit-tests,2020-06-07,0,0,,True,True,Not Available
mtwn105,mtwn105/apisix-website,2021-03-01,0,0,,True,False,Not Available
mtwn105,mtwn105/Auction-App-Backend,2021-05-10,0,0,Java,True,True,Apache License 2.0
mtwn105,mtwn105/Awesome-JavaScript-Projects,2021-02-28,0,0,,True,True,Not Available
mtwn105,mtwn105/BachatBazaarFlutter,2019-03-27,5,5,Dart,True,True,Not Available
mtwn105,mtwn105/blogsss,2022-05-17,0,0,TypeScript,True,True,MIT License
mtwn105,mtwn105/bookquotes,2021-10-11,0,0,JavaScript,True,True,MIT License
mtwn105,mtwn105/Cipherly,2019-05-24,106,106,Dart,True,True,Apache License 2.0
mtwn105,mtwn105/clienteling,2021-10-14,0,0,,True,True,Not Available
mtwn105,mtwn105/clinix,2019-11-21,1,1,CSS,True,True,Not Available
mtwn105,mtwn105/Clinix-Angular,2019-12-13,0,0,CSS,True,True,Not Available
mtwn105,mtwn105/clinix-java,2019-12-13,0,0,Java,True,True,Not Available
mtwn105,mtwn105/CodeSchoolQA,2021-10-02,0,0,,True,True,MIT License
mtwn105,mtwn105/CodeY,2021-10-10,0,0,,True,True,MIT License
mtwn105,mtwn105/COVID-DASH,2020-03-25,0,0,CSS,True,True,Not Available
mtwn105,mtwn105/CurrencyXchangeFlutter,2019-05-15,0,0,Dart,True,True,Not Available
mtwn105,mtwn105/dailydev-rss-to-twitter-weekly-bookmarks,2022-03-07,1,1,JavaScript,True,True,Apache License 2.0
mtwn105,mtwn105/DecisionMaker,2019-05-14,0,0,Dart,True,True,Not Available
mtwn105,mtwn105/deckdeckgo,2021-02-28,0,0,,True,True,Not Available
mtwn105,mtwn105/donor-match,2023-06-03,0,0,TypeScript,True,True,Not Available
mtwn105,mtwn105/dotreasury,2021-02-27,0,0,,True,True,Apache License 2.0
mtwn105,mtwn105/DS-Algo-Zone,2021-10-01,0,0,C++,True,True,MIT License
mtwn105,mtwn105/Expense-Manager-Angular,2019-10-30,0,0,,True,True,Not Available
